teamName,name,adjNetYdsPerAtt,win_percentage
Miami Dolphins,Tua Tagovailoa,8.4,61.5
Kansas City Chiefs,Patrick Mahomes,7.9,82.4
San Francisco 49ers,Jimmy Garoppolo,7.6,63.6
Detroit Lions,Jared Goff,7.4,52.9
Philadelphia Eagles,Jalen Hurts,7.3,93.3
Buffalo Bills,Josh Allen,7.0,81.3
Cincinnati Bengals,Joe Burrow,6.8,75
Jacksonville Jaguars,Trevor Lawrence,6.7,52.9
New Orleans Saints,Andy Dalton,6.5,42.9
Seattle Seahawks,Geno Smith,6.5,52.9
Tennessee Titans,Ryan Tannehill,6.4,50
Los Angeles Chargers,Justin Herbert,6.2,58.8
Cleveland Browns,Jacoby Brissett,6.2,25
Dallas Cowboys,Dak Prescott,6.1,66.7
Baltimore Ravens,Lamar Jackson,6.1,66.7
Minnesota Vikings,Kirk Cousins,6.1,76.5
Tampa Bay Buccaneers,Tom Brady,6.1,47.1
Las Vegas Raiders,Derek Carr,6.0,40
Green Bay Packers,Aaron Rodgers,5.9,47.1
New York Giants,Daniel Jones,5.9,56.3
Atlanta Falcons,Marcus Mariota,5.8,38.5
Denver Broncos,Russell Wilson,5.5,26.7
New England Patriots,Mac Jones,5.4,42.9
Los Angeles Rams,Matthew Stafford,5.2,33.3
Arizona Cardinals,Kyler Murray,5.2,27.3
Houston Texans,Davis Mills,5.0,20
New York Jets,Zach Wilson,5.0,55.6
Indianapolis Colts,Matt Ryan,4.9,33.3
Pittsburgh Steelers,Kenny Pickett,4.7,53.8
Washington Commanders,Carson Wentz,4.7,25
Carolina Panthers,Baker Mayfield,4.6,14.3
Chicago Bears,Justin Fields,4.6,20
