teamName,name,att,completion_pct,tds,interceptions,qbRating,totalQBR,fourthQComebacks,gameWinningDrives,qb_win_percentage
Kansas City Chiefs,Patrick Mahomes,648,67.1,41,12,105.2,79.0,4,4,82.4
Buffalo Bills,Josh Allen,567,63.3,35,14,96.6,73.4,3,4,81.3
Miami Dolphins,Tua Tagovailoa,400,64.7,25,8,105.5,70.6,2,2,61.5
Philadelphia Eagles,Jalen Hurts,460,66.5,22,6,101.5,68.3,1,2,93.3
Detroit Lions,Jared Goff,587,65.1,29,7,99.3,63.3,3,3,52.9
New York Giants,Daniel Jones,472,67.2,15,5,92.5,62.9,4,5,56.3
Seattle Seahawks,Geno Smith,572,69.8,30,11,100.9,62.8,2,3,52.9
Cleveland Browns,Jacoby Brissett,369,64,12,6,88.9,62.0,2,2,25
Baltimore Ravens,Lamar Jackson,326,62.3,17,7,91.1,61.1,1,2,66.7
Cincinnati Bengals,Joe Burrow,606,68.3,35,12,100.8,60.8,3,4,75
Los Angeles Chargers,Justin Herbert,699,68.2,25,10,93.2,60.2,4,5,58.8
Dallas Cowboys,Dak Prescott,394,66.2,23,15,91.1,59.9,2,2,66.7
Atlanta Falcons,Marcus Mariota,300,61.3,15,9,88.2,57.7,2,3,38.5
Las Vegas Raiders,Derek Carr,502,60.8,24,14,86.3,57.6,4,3,40
Chicago Bears,Justin Fields,318,60.4,17,11,85.2,56.3,1,2,20
San Francisco 49ers,Jimmy Garoppolo,308,67.2,16,4,103.0,56.3,1,1,63.6
Jacksonville Jaguars,Trevor Lawrence,584,66.3,25,8,95.2,56.1,3,2,52.9
Tampa Bay Buccaneers,Tom Brady,733,66.8,25,9,90.7,54.6,4,5,47.1
Pittsburgh Steelers,Kenny Pickett,389,63,7,9,76.7,53.6,3,4,53.8
Arizona Cardinals,Kyler Murray,390,66.4,14,7,87.2,53.6,1,1,27.3
New Orleans Saints,Andy Dalton,378,66.7,18,9,95.2,53.1,1,1,42.9
Minnesota Vikings,Kirk Cousins,643,65.9,29,14,92.5,52.3,8,8,76.5
Los Angeles Rams,Matthew Stafford,303,68,10,8,87.4,52.3,0,0,33.3
Tennessee Titans,Ryan Tannehill,325,65.2,13,6,94.6,51.2,0,0,50
Indianapolis Colts,Matt Ryan,461,67,14,13,83.9,44.9,5,4,33.3
Green Bay Packers,Aaron Rodgers,542,64.6,26,12,91.1,41.3,3,4,47.1
Denver Broncos,Russell Wilson,483,60.5,16,11,84.4,38.7,3,3,26.7
New York Jets,Zach Wilson,242,54.5,6,7,72.8,38.5,1,2,55.6
New England Patriots,Mac Jones,442,65.2,14,11,84.8,38.4,0,0,42.9
Houston Texans,Davis Mills,479,61,17,15,78.8,35.0,2,3,20
Washington Commanders,Carson Wentz,276,62.3,11,9,80.2,34.4,2,2,25
Carolina Panthers,Baker Mayfield,206,57.8,6,6,74.4,0.0,0,0,14.3
