teamName,sacks,tfl,qbHits,win_percentage
Philadelphia Eagles,69,97,124,82.4
Kansas City Chiefs,55,89,118,82.4
Dallas Cowboys,54,93,110,70.6
New England Patriots,53,72,93,47.1
Baltimore Ravens,48,77,95,58.8
New Orleans Saints,48,77,87,41.2
Indianapolis Colts,44,91,90,23.5
Tampa Bay Buccaneers,44,89,104,47.1
New York Jets,44,81,130,41.2
San Francisco 49ers,44,77,121,76.5
Seattle Seahawks,44,75,98,52.9
Washington Commanders,43,89,108,47.1
Buffalo Bills,40,93,98,76.5
Los Angeles Chargers,40,77,77,58.8
Miami Dolphins,40,75,101,52.9
New York Giants,40,73,106,52.9
Pittsburgh Steelers,40,68,84,52.9
Houston Texans,39,95,78,17.6
Tennessee Titans,39,77,104,41.2
Detroit Lions,39,76,100,52.9
Minnesota Vikings,38,81,88,76.5
Los Angeles Rams,38,68,80,29.4
Arizona Cardinals,36,87,106,23.5
Denver Broncos,36,64,81,29.4
Carolina Panthers,35,88,91,41.2
Jacksonville Jaguars,35,80,112,52.9
Cleveland Browns,34,69,66,41.2
Green Bay Packers,34,68,87,47.1
Cincinnati Bengals,30,57,102,70.6
Las Vegas Raiders,27,68,94,35.3
Atlanta Falcons,21,57,69,41.2
Chicago Bears,20,67,43,17.6
